State,Session,Bill-Number,Introduced,Name,Last-Action,Action-Date,Sponsor-List,Actions,Versions,Bill-Url,Source
MS,2018,,1/15/2018,HB 1429MS Statewide Open Source Software Law; create to incentivize development of software at colleges for use by state agencies.,"Jan 30, 2018Died In Committee",,,,,https://openstates.org/ms/bills/2018/HB1429/,openstates
WA,2017-2018,,1/16/2017,HB 1253Making higher education more affordable by providing incentives for the use of open source instructional materials.,"Jan 8, 2018By resolution, reintroduced and retained in present status.",,,,,https://openstates.org/wa/bills/2017-2018/HB1253/,openstates
NY,2017-2018,,2/2/2017,A 4521Provides a maximum $200 tax credit for taxpayer expenses associated with the development of open source and free software license programs,"Jan 3, 2018REFERRED TO WAYS AND MEANS",,,,,https://openstates.org/ny/bills/2017-2018/A4521/,openstates
NY,2017-2018,,1/4/2017,S 490Provides a maximum $200 tax credit for taxpayer expenses associated with the development of open source and free software license programs,"Jan 4, 2017REFERRED TO INVESTIGATIONS AND GOVERNMENT OPERATIONS",,,,,https://openstates.org/ny/bills/2017-2018/S490/,openstates
NY,2017-2018,,1/4/2017,S 492Relates to the procurement and use of Open Source Initiative approved open source license by state agencies,"Jan 4, 2017REFERRED TO FINANCE",,,,,https://openstates.org/ny/bills/2017-2018/S492/,openstates
NY,2015-2016,,1/7/2015,S 161Provides a maximum $200 tax credit for taxpayer expenses associated with the development of open source and free software license programs,Jun 2; 2016REPORTED AND COMMITTED TO FINANCE,,,,,https://openstates.org/ny/bills/2015-2016/S161/,openstates
NY,2015-2016,,5/12/2016,S 7768Relates to the procurement and use of Open Source Initiative approved open source license by state agencies,May 12; 2016REFERRED TO FINANCE,,,,,https://openstates.org/ny/bills/2015-2016/S7768/,openstates
WA,2015-2016,,1/20/2016,HB 2780Making higher education more affordable by providing incentives for the use of open source instructional materials.,Mar 10; 2016By resolution; reintroduced and retained in present status.,,,,,https://openstates.org/wa/bills/2015-2016/HB2780/,openstates
NY,2015-2016,,1/15/2015,A 2102Provides a maximum $200 tax credit for taxpayer expenses associated with the development of open source and free software license programs,Jan 6; 2016REFERRED TO WAYS AND MEANS,,,,,https://openstates.org/ny/bills/2015-2016/A2102/,openstates
NY,2013-2014,,1/9/2013,S 173Provides a maximum $200 tax credit for taxpayer expenses associated with the development of open source and free software license programs,Mar 28; 2014PRINT NUMBER 173A,,,,,https://openstates.org/ny/bills/2013-2014/S173/,openstates
NY,2013-2014,,1/9/2013,S 173AProvides a maximum $200 tax credit for taxpayer expenses associated with the development of open source and free software license programs,Mar 28; 2014PRINT NUMBER 173A,,,,,https://openstates.org/ny/bills/2013-2014/S173A/,openstates
NY,2013-2014,,1/23/2013,A 3158Provides a maximum $200 tax credit for taxpayer expenses associated with the development of open source and free software license programs,Jan 8; 2014referred to ways and means,,,,,https://openstates.org/ny/bills/2013-2014/A3158/,openstates
NH,2013,,1/3/2013,HB 155relative to the use of open source software by state agencies; including the department of information technology in the uniform electronic transactions act; and repealing ...,Jun 27; 2013Signed By Governor 06/25/2013; Effective 06/25/2013; Chapter 0118,,,,,https://openstates.org/nh/bills/2013/HB155/,openstates
CA,20112012,,2/8/2012,SB 1053Public postsecondary education: California Digital Open Source Library.,Sep 27; 2012Chaptered by Secretary of State. Chapter 622; Statutes of 2012.,,,,,https://openstates.org/ca/bills/20112012/SB1053/,openstates
NY,2011-2012,,10/27/2011,A 8682Provides a maximum $200 tax credit for taxpayer expenses associated with the development of open source and free software license programs,Jun 19; 2012held for consideration in ways and means,,,,,https://openstates.org/ny/bills/2011-2012/A8682/,openstates
RI,2012,,2/28/2012,SR 2541SENATE RESOLUTION URGING STATE AGENCIES TO CONSIDER USING OPEN SOURCE SOFTWARE,Apr 3; 201204/03/2012 Senate read and passed,,,,,https://openstates.org/ri/bills/2012/SR2541/,openstates
NH,2012,,1/21/2011,HB 418relative to the use of open source software and open data formats by state agencies and relative to the adoption of a statewide information policy ...,Mar 12; 2012Signed by the Governor 03/12/2012; Effective 05/11/2012; Chapter 0005,,,,,https://openstates.org/nh/bills/2012/HB418/,openstates
NY,2011-2012,,1/4/2012,A 8831Provides a maximum $200 tax credit for taxpayer expenses associated with the development of open source and free software license programs,Jan 4; 2012referred to ways and means,,,,,https://openstates.org/ny/bills/2011-2012/A8831/,openstates
NY,2011-2012,,1/5/2011,S 43Provides a maximum $200 tax credit for taxpayer expenses associated with the development of open source and free software license programs,Jan 4; 2012REFERRED TO INVESTIGATIONS AND GOVERNMENT OPERATIONS,,,,,https://openstates.org/ny/bills/2011-2012/S43/,openstates
NH,2011,,1/21/2011,HB 418relative to the use of open source software and open data formats by state agencies and relative to the adoption of a statewide information policy ...,Sep 1; 2011Work Session on Re-referred Bill: 9/8/11; Room 100; SH; 10:00 a.m.; SC36,,,,,https://openstates.org/nh/bills/2011/HB418/,openstates
NY,2011-2012,,1/5/2011,A 1163Provides a maximum $200 tax credit for taxpayer expenses associated with the development of open source and free software license programs,Jul 11; 2011enacting clause stricken,,,,,https://openstates.org/ny/bills/2011-2012/A1163/,openstates
VT,2011-2012,,3/18/2011,H 434AN ACT RELATING TO COMPARING THE COSTS AND BENEFITS OF DOWNLOADING FREE OPEN SOURCE SOFTWARE WITH PURCHASING PROPRIETARY COMPUTER SOFTWARE,Mar 18; 2011Read First Time and Referred to the Committee on Government Operations,,,,,https://openstates.org/vt/bills/2011-2012/H434/,openstates
VT,2009-2010,,1/15/2010,H 516AN ACT RELATING TO COMPARING THE COSTS AND BENEFITS OF DOWNLOADING FREE OPEN SOURCE SOFTWARE WITH PURCHASING PROPRIETARY COMPUTER SOFTWARE,Jan 15; 2010Read First Time and Referred to the Committee on Government Operations,,,,,https://openstates.org/vt/bills/2009-2010/H516/,openstates
TX,85,,3/9/2017,SB 1784Relating to open-source instructional material for public schools.,Jun 15; 2017Effective immediately,,,,,https://openstates.org/tx/bills/85/SB1784/,openstates
CT,2015,,1/22/2015,HB 6117AN ACT CONCERNING THE USE OF DIGITAL OPEN-SOURCE TEXTBOOKS IN HIGHER EDUCATION.,Jul 2; 2015SIGNED BY GOVERNOR,,,,,https://openstates.org/ct/bills/2015/HB6117/,openstates
TX,84,,3/12/2015,HB 3260Relating to a study and report regarding the use of open-source instructional materials at public schools.,Apr 28; 2015Left pending in committee,,,,,https://openstates.org/tx/bills/84/HB3260/,openstates
TX,84,,1/26/2015,HB 926Relating to a study and report regarding the use of open-source instructional materials at public institutions of higher education.,Apr 22; 2015Left pending in committee,,,,,https://openstates.org/tx/bills/84/HB926/,openstates
CA,20112012,,2/18/2011,SB 613Instructional materials: open-source.,Jan 31; 2012Returned to Secretary of Senate pursuant to Joint Rule 56.,,,,,https://openstates.org/ca/bills/20112012/SB613/,openstates
TX,81,,3/5/2009,HB 2488Relating to open-source textbooks and other instructional materials for public schools.,Jun 19; 2009Effective on 9/1/09,,,,,https://openstates.org/tx/bills/81/HB2488/,openstates
OK,,SB345,,Oklahoma Information Services Act; exempting J.D. McCarty Center for Children with Developmental Disabilities from definition. Emergency.,Second Reading referred to Appropriations,2/8/2011,John Sparks,3,1,https://www.billtrack50.com/BillDetail/88090,billtrack50
OK,,SB345,,Oklahoma Information Services Act; exempting J.D. McCarty Center for Children with Developmental Disabilities from definition. Emergency.,Second Reading referred to Appropriations,2/8/2011,John Sparks,3,1,https://www.billtrack50.com/BillDetail/150521,billtrack50
